ID,Phase,Action,Owner,Due,Priority,Status,Notes
PM-001,Handoff / commercial,Confirm written working relationship: Dakota Drilling hires DRS Engineering as subconsultant for construction-management support and pays DRS for Dave's time.,Dave / Dakota,ASAP,High,Open,"Confirm contract, hourly rate, billing contact, invoice timing, and whether SRS remains involved."
PM-002,Handoff / commercial,"Meet with Doug and Randy to agree SRS fees, scope of work, and schedule.",Dave / Luke,2026-08-21,High,Open,"Workbook note: SRS fees calculation `$665,000 - $591,996 = $73,004`. Confirm who owes/receives this amount and whether it affects Dakota/DRS scope."
PM-003,Handoff / records,Confirm which documents in `2025-202` are the current construction documents and which prior `2024-261` records Dakota should rely on.,Dave,ASAP,High,Open,Prevent field use of superseded design files.
PM-004,Permit,Open ePlanLA / LADBS permit record.,Dave / Luke,2026-08-21,High,Open,Start of permit-pull checklist.
PM-005,Permit,Confirm permit status is RTI / Ready to Issue.,Dave / Luke,2026-08-21,High,Open,Do before fees or distribution of field set.
PM-006,Permit,"Open Clearance Summary Worksheet and confirm every clearance is Approved, Approved with Conditions, Cleared, or Not Applicable.",Dave / Luke,2026-08-21,High,Open,Save all clearance comments and conditions.
PM-007,Permit,Download and save all clearance comments and conditions.,Dave / Luke,2026-08-21,High,Open,Store locally first; do not modify Dropbox without explicit approval.
PM-008,Permit,Confirm all LADBS plan-check disciplines are approved.,Dave / Luke,2026-08-21,High,Open,Include soils/geology approval if applicable.
PM-009,Permit,"Confirm contractor, license, workers' comp, and business-tax information are complete.",Dakota / Dave,2026-08-21,High,Open,Dakota action: provide insurance info for permit.
PM-010,Permit,Obtain waste-hauler information for permit.,Dave / Dakota / SRS,2026-08-14,High,Open,Workbook note: Dave to get info from Randy. Dakota action also lists hauler info. Date appears past due as of 2026-08-17. Confirm whether SRS must provide or pay for waste-hauler information/arrangements.
PM-011,Permit,Review final fee balance.,Dave / Luke,2026-08-21,High,Open,Confirm who pays LADBS fees and reimbursement path.
PM-012,Permit,"Pay final fees, download payment receipt, issue/pull permit, download issued permit and building/permit card.",Dave / Luke,2026-08-21,High,Open,Split into substeps if payment authority is not already clear.
PM-013,Permit / document control,"Download stamped approved plans, approval letters, calculations, and reports.",Dave / Luke,2026-08-21,High,Open,These are the official field-control documents.
PM-014,Document control,"Create a controlled field set: issued permit, permit card, stamped approved plans, approval letters, calculations, reports, and applicable conditions.",Dave,2026-08-21,High,Open,"Confirm distribution list: Dakota, owner/client, SRS, inspectors, civil/survey, plumber if relevant."
PM-015,Schedule,Create project schedule for client.,Dave,2026-08-28,High,Open,"Include permit issue, mobilization, layout, Dig Alert, BMPs, drilling/excavation, inspections/testing, concrete/grout if any, milestones, and closeout."
PM-016,Preconstruction,Set up preconstruction meeting.,Dave,ASAP,High,Open,"Attendees likely Dave/DRS, Dakota, owner/client, SRS, inspectors, civil/survey, plumber, and any LADBS/soils reps if appropriate."
PM-017,Preconstruction,Hold preconstruction meeting.,Dave / Dakota,Before start,High,Open,Use meeting agenda in Section 4.
PM-018,Preconstruction,Determine required inspectors and testing agencies.,Dave,ASAP,High,Open,"Include LADBS inspections, deputy soils inspection, concrete/grout testing if required, and any special inspection tied to approved plans."
PM-019,Inspection / testing,Hire Feffer as registered deputy inspector for soils.,Dave,ASAP,High,Open,"Confirm spelling/entity, availability, scope, rates, report distribution, and required LADBS credentials."
PM-020,Inspection / testing,Determine and hire concrete testing inspector for grout/concrete if required.,Dave,ASAP,Medium,Open,"Workbook wording: ""Hire concrete testing inspectors for grout?"" Confirm if grout/concrete is in approved scope."
PM-021,Inspection / testing,Establish inspection/testing payment and recordkeeping process.,Dave / Dakota / SRS / Owner,Before mobilization,High,Open,"Yellow-highlighted Dakota exclusion: scheduling/payment for inspections, permits, fees, deputy soils, concrete inspections, concrete testing, record keeping, and reports are by others. Dave's SRS list says SRS should coordinate any permit responsibilities."
PM-022,Survey / layout,Hire civil/surveyor to stake property lines per GPI.,Dave / SRS,ASAP,High,Open,"Action list names Payan Surveying Inc., phone 951-356-6456. Confirm scope: property lines, wall line, offsets, center-of-hole locations, elevations, depths, benchmarks, and as-built points. Dave/DRS will help coordinate what needs survey and recommended offsets."
PM-023,Survey / layout,Confirm field engineering responsibilities and deliverables.,SRS / Dave / Surveyor,Before layout,High,Open,"Dave's SRS list: SRS to provide all required field engineering, including survey, layout, offsets, center-of-hole locations, elevations, depths, and monitoring."
PM-024,Utility / safety,Submit Dig Alert / utility notification.,Dave / Dakota / SRS,Before excavation,High,Open,Confirm who is legal excavator of record; set required lead time. Dave's SRS list includes utility coordination.
PM-025,Utility / safety,"Locate, pothole, protect, remove, or relocate existing utilities that may interfere with soil nail installation.",SRS / Dave / Owner / Dakota,Before drilling,High,Open,Dave's SRS list: SRS to cover potholing and accurate utility location; protection/removal/relocation of utilities above or below ground that may interfere with soil nail installation; power lines too close to be removed or de-energized by others.
PM-026,Site readiness,"Confirm permit, approved plans, and building card are on site before work begins.",Dakota / Dave,Before start,High,Open,Required field control.
PM-027,Site controls,"Confirm SRS responsibility for erosion control and/or SWPPP plans, installation, establishment, and maintenance.",SRS / Dave / Owner,Before start,High,Open,Dave's SRS list assigns erosion control and SWPPP plans/installation/establishment/maintenance to SRS. Tie to permit conditions and site constraints.
PM-028,Site logistics,Secure access to 1645 Woods Drive for Dakota staging.,Dave / Owner / Dakota,Before mobilization,High,Open,"Yellow-highlighted Dakota requirement. Confirm written permission, access route, dates, hours, storage limits, restoration obligations, and insurance requirements."
PM-029,Site logistics,Confirm uninterrupted potable water supply and any hydrant-meter responsibility.,SRS / Dave / Owner / Dakota,Before mobilization,High,Open,"Dave's SRS list: SRS to provide uninterrupted city-pressure potable water near drilling operations and cover any required hydrant meters. Distance is boilerplate and can be adjusted. If an on-site water source is available, leave water responsibility in the owner contract as appropriate."
PM-030,Site logistics,Provide bins or clean-out location for grout/drilling spoils where drilling occurs.,Dave / Owner / Dakota,Before mobilization,High,Open,Dakota exclusion; coordinate with waste-hauler and site access.
