id,date,time,merchant,location,category,description,currency,subtotal,tax,tip,total,payment,receipt_file,notes
R001,2026-09-03,20:15:36,Khan Saab Santa Monica,"Santa Monica, CA","Food & Dining","First meal for Italy trip",USD,83.00,8.92,18.08,110.00,"Mastercard ending 1676",receipts/R001-khan-saab-santa-monica-110-00.jpg,"Receipt shows printed total 91.92 and handwritten tip 18.08 / total 110.00."
R002,2026-09-04,05:42:00,Urth Caffe & Bar - T1,"Los Angeles International Airport, Terminal 1","Food & Dining","LAX airport food and drinks before Italy trip departure",USD,67.47,6.06,13.48,87.01,"Mastercard ending 8609",receipts/R002-urth-caffe-bar-lax-87-01.jpg,"Receipt shows payment total 87.01, tax 6.06, and card tip 13.48."
R003,2026-09-05,11:25:00,rom'antica,"Via dell'Orso 20, Milan, Italy","Food & Dining","Pizza and Coca Cola Zero near Milan Royal Suites - Brera",EUR,7.81,0.78,0.00,8.59,"Mastercard ending 8609",receipts/R003-romantica-milan-8-59.jpg,"Receipt shows total 8.59 EUR with 0.78 EUR IVA included at 10%."
R004,2026-09-06,13:42:00,F1 Store x PUMA x AMEX,"Milan, Italy",Shopping,"F1/Puma clothing and merchandise",EUR,164.75,36.25,0.00,201.00,"Electronic payment",receipts/R004-puma-f1-store-milan-201-00.jpg,"Receipt shows total 201.00 EUR with 36.25 EUR IVA included at 22%; visible items include a bag, F1 x Ford WS T-shirt, and two kids T-shirts."
R005,2026-09-06,21:23:00,Sebastian Cafe Milano,"Via Dante 18, Milan, Italy","Food & Dining","Dinner/dessert at Sebastian Cafe Milano",EUR,93.00,0.00,0.00,93.00,"Payment not shown",receipts/R005-sebastian-cafe-milano-93-00.jpg,"Slip is marked documento gestionale and says to bring the code to the cashier for payment; payment confirmation is not shown. Visible items: coperto 10.00, water 6.00, Tagliatella Bolognese 18.00, Parmigiana 18.00, two Coca Cola maxy 20.00, Cannolo Siciliano 9.00, two cappuccinos 12.00."
R006,2026-09-08,,HFM SRL,"Via del Mare 56/58, Villasimius (CA), Italy","Food & Dining","Restaurant meal in Villasimius",EUR,85.50,0.00,0.00,85.50,"Payment not shown",receipts/R006-hfm-villasimius-85-50.jpg,"Receipt shows total 85.50 EUR; tax breakdown and payment method not shown. Visible items: two coperto 7.00, polpo scottato 18.00, spag pomodoro 9.00, frittura mista 26.00, verdure grill 10.00, two Zero Alcol Heneiken 10.00, Coca Cola 3.00, Acquamea Nat 2.50."
R007,2026-09-08,21:14:00,Il Regalo,"Via del Mare 19, Villasimius (CA), Italy",Shopping,"Gift shop purchase in Villasimius",EUR,16.39,3.61,0.00,20.00,"Electronic payment",receipts/R007-il-regalo-villasimius-20-00.jpg,"Receipt shows VARIE 12.50 and VARIE 7.50, total 20.00 EUR paid electronically, including 3.61 EUR IVA at 22%."
R008,2026-09-08,,Taxi,"Villasimius, Sardinia, Italy",Transportation,"Taxi to restaurant",USD,20.00,0.00,0.00,20.00,"Payment not shown",,"No receipt available; logged from Dave's 2026-09-09 note as spent last night."
R009,2026-09-08,,Taxi,"Villasimius, Sardinia, Italy",Transportation,"Taxi back from restaurant",EUR,20.00,0.00,0.00,20.00,"Payment not shown",,"No receipt available; logged from Dave's 2026-09-09 note as spent last night."
R010,2026-09-11,,Cala Caterina,"Villasimius, Sardinia, Italy","Food & Dining","Hotel folio food and beverage charges",EUR,283.00,0.00,0.00,283.00,"Paid on hotel folio",receipts/R010-cala-caterina-hotel-folio-page-1.jpg,"Proforma room 103, client Kreinces Robbie. Translated visible food/beverage lines: Bar Centrale 28.00, dinner 15.00, room service restaurant 50.00, gazebo 6.50, minibar beverages 30.00, Bar Centrale 49.00, Bar Centrale 12.00, minibar food 3.50, Bar Centrale 11.00, dinner 70.00, Bar Centrale 8.00. Folio total paid 583.50 EUR across pages 1 and 2."
R011,2026-09-11,,Cala Caterina,"Villasimius, Sardinia, Italy",Shopping,"Hotel folio personal-care purchases",EUR,168.50,0.00,0.00,168.50,"Paid on hotel folio",receipts/R010-cala-caterina-hotel-folio-page-1.jpg,"Translated visible personal-care lines: Sun Soul SPF 50+ 35.00, hair oil 25.50, personal-care item 40.00, Sun Soul Cream SPF 30 49.00, body lotion 19.00. Folio total paid 583.50 EUR across pages 1 and 2."
R012,2026-09-11,,Cala Caterina,"Villasimius, Sardinia, Italy",Health,"Hotel folio massage",EUR,100.00,0.00,0.00,100.00,"Paid on hotel folio",receipts/R010-cala-caterina-hotel-folio-page-1.jpg,"Translated visible service line: massage 50 minutes 100.00. Folio total paid 583.50 EUR across pages 1 and 2."
R013,2026-09-11,,Cala Caterina,"Villasimius, Sardinia, Italy",Other,"Hotel folio city tax",EUR,32.00,0.00,0.00,32.00,"Paid on hotel folio",receipts/R010-cala-caterina-hotel-folio-page-2.jpg,"Translated visible tax line: city tax 32.00. Page 2 shows total 583.50, amount paid 583.50, unpaid 0.00."
